Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"WALTHAM, MA",Bentley University,Four,Private Nonprofit,City,Medium,90%,$39k,$121k
"BETHLEHEM, PA",Lehigh University,Four,Private Nonprofit,City,Medium,89%,$34k,$106k
"HENDERSON, NV",Touro University Nevada,Four,Private Nonprofit,City,Small,82%,,$105k
"RICHARDSON, TX",West Coast University-Dallas,Four,Private For-Profit,City,Small,67%,$26k,$103k
"NORTH HOLLYWOOD, CA",West Coast University-Los Angeles,Four,Private For-Profit,City,Medium,80%,$52k,$103k
"DORAL, FL",West Coast University-Miami,Four,Private For-Profit,City,Small,52%,$38k,$103k
"ONTARIO, CA",West Coast University-Ontario,Four,Private For-Profit,City,Medium,70%,$50k,$103k
"ANAHEIM, CA",West Coast University-Orange County,Four,Private For-Profit,City,Medium,79%,$37k,$103k
"DURHAM, NC",Duke University,Four,Private Nonprofit,City,Medium,96%,$34k,$98k
"NEW YORK, NY",Mount Sinai Phillips School of Nursing,Four,Private Nonprofit,City,Small,79%,,$97k
"LEWISBURG, PA",Bucknell University,Four,Private Nonprofit,Town,Medium,89%,$40k,$94k
"POTSDAM, NY",Clarkson University,Four,Private Nonprofit,Town,Medium,77%,$32k,$90k
"MILWAUKEE, WI",Milwaukee School of Engineering,Four,Private Nonprofit,City,Medium,65%,$24k,$89k
"SCHENECTADY, NY",Belanger School of Nursing,Two,Private Nonprofit,City,Small,66%,$24k,$80k
"NEW ORLEANS, LA",Louisiana State University Health Sciences Center-New Orleans,Four,Public,City,Small,87%,,$78k
"QUINCY, IL",Blessing Rieman College of Nursing and Health Sciences,Four,Private Nonprofit,Town,Small,72%,,$72k
"UTICA, NY",Saint Elizabeth College of Nursing,Two,Private Nonprofit,City,Small,72%,$20k,$72k
"JOHNSTOWN, PA",DLP Conemaugh Memorial Medical Center,Certificate,Private For-Profit,City,Small,47%,$22k,$66k
"NASHVILLE, TN",Meridian Institute of Surgical Assisting,Certificate,Private For-Profit,City,Small,91%,,$63k
"CLAREMONT, CA",Harvey Mudd College,Four,Private Nonprofit,Suburban,Small,94%,$32k,$139k
"SANTA CLARA, CA",Santa Clara University,Four,Private Nonprofit,City,Medium,92%,$51k,$109k
"CHESTNUT HILL, MA",Boston College,Four,Private Nonprofit,City,Medium,91%,$40k,$104k
"TROY, NY",Rensselaer Polytechnic Institute,Four,Private Nonprofit,City,Medium,87%,$33k,$102k
"VILLANOVA, PA",Villanova University,Four,Private Nonprofit,Suburban,Medium,89%,$45k,$100k
"GOLDEN, CO",Colorado School of Mines,Four,Public,Suburban,Medium,85%,$29k,$97k
"FLINT, MI",Kettering University,Four,Private Nonprofit,City,Small,74%,$33k,$95k
"VALLEJO, CA",California State University Maritime Academy,Four,Public,City,Small,72%,$18k,$95k
"EASTON, PA",Lafayette College,Four,Private Nonprofit,Suburban,Medium,89%,$32k,$91k
