Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"DELAND, FL",Stetson University,Four,Private Nonprofit,City,Medium,63%,$21k,$52k
"FOUNTAIN VALLEY, CA",Modern Technology School,Certificate,Private For-Profit,City,Small,76%,$23k,$51k
"CULLOWHEE, NC",Western Carolina University,Four,Public,Town,Medium,66%,$13k,$49k
"BLOOMINGTON, MN",Academy College,Four,Private For-Profit,City,Small,84%,$31k,$48k
"HESSTON, KS",Hesston College,Two,Private Nonprofit,Rural,Small,66%,$21k,$47k
"EMPORIA, KS",Flint Hills Technical College,Certificate,Public,Town,Small,77%,$16k,$47k
"OLD WESTBURY, NY",New York Institute of Technology,Four,Private Nonprofit,Rural,Medium,57%,$21k,$70k
"QUEENS, NY",St. John's University-New York,Four,Private Nonprofit,City,Medium,68%,$27k,$70k
"SAN FRANCISCO, CA",San Francisco State University,Four,Public,City,Large,66%,$13k,$68k
"FULLERTON, CA",California State University-Fullerton,Four,Public,Suburban,Large,80%,$6k,$63k
"GRINNELL, IA",Grinnell College,Four,Private Nonprofit,Town,Small,87%,$16k,$63k
"CAMARILLO, CA",California State University-Channel Islands,Four,Public,Rural,Medium,71%,$10k,$62k
"BUFFALO, NY",Canisius University,Four,Private Nonprofit,City,Small,71%,$18k,$61k
"MIAMI, FL",Florida International University,Four,Public,Suburban,Large,70%,$9k,$60k
"AUSTIN, TX",Saint Edward's University,Four,Private Nonprofit,City,Medium,63%,$24k,$59k
"CHARLESTON, SC",College of Charleston,Four,Public,City,Medium,65%,$20k,$56k
"LINCOLN, NE",Union Adventist University,Four,Private Nonprofit,City,Small,56%,$21k,$55k
"SPRINGFIELD, OH",Wittenberg University,Four,Private Nonprofit,City,Small,63%,$19k,$55k
"KEENE, NH",Keene State College,Four,Public,Town,Medium,62%,$19k,$54k
"HANOVER, IN",Hanover College,Four,Private Nonprofit,Town,Small,67%,$22k,$54k
"SILOAM SPRINGS, AR",John Brown University,Four,Private Nonprofit,Town,Small,69%,$21k,$54k
"SEARCY, AR",Harding University,Four,Private Nonprofit,Town,Medium,69%,$21k,$53k
"EUREKA, IL",Eureka College,Four,Private Nonprofit,Town,Small,59%,$22k,$52k
"PITTSBURG, KS",Pittsburg State University,Four,Public,Town,Medium,58%,$19k,$51k
"SUPERIOR, WI",University of Wisconsin-Superior,Four,Public,Suburban,Small,49%,$13k,$50k
"KANSAS CITY, MO",Aviation Institute of Maintenance-Kansas City,Certificate,Private For-Profit,City,Small,47%,$27k,$41k
"NORTON, MA",Wheaton College (Massachusetts),Four,Private Nonprofit,Suburban,Small,75%,$31k,$68k
"SAN DIEGO, CA",Alliant International University-San Diego,Certificate,Private For-Profit,City,Small,49%,,$67k
"SAINT PAUL, MN",Macalester College,Four,Private Nonprofit,City,Medium,91%,$30k,$64k
"MADISON, NJ",Drew University,Four,Private Nonprofit,Suburban,Small,73%,$26k,$64k
"STANDISH, ME",Saint Joseph's College of Maine,Four,Private Nonprofit,Rural,Small,50%,$25k,$59k
"IRVING, TX",University of Dallas,Four,Private Nonprofit,City,Small,70%,$25k,$58k
"RICHMOND, VA",Virginia Commonwealth University,Four,Public,City,Large,70%,$19k,$58k
"LOS ANGELES, CA",Smith Chason College,Two,Private For-Profit,City,Medium,65%,$34k,$58k
"PLYMOUTH, NH",Plymouth State University,Four,Public,Town,Medium,59%,$20k,$57k
"ATLANTA, GA",Oglethorpe University,Four,Private Nonprofit,Suburban,Small,51%,$22k,$55k
"FITCHBURG, MA",Fitchburg State University,Four,Public,Suburban,Medium,59%,$15k,$54k
"DUE WEST, SC",Erskine College,Four,Private Nonprofit,Rural,Small,51%,$22k,$53k
"MISSISSIPPI STATE, MS",Mississippi State University,Four,Public,Town,Large,64%,$16k,$52k
"SPARTANBURG, SC",University of South Carolina-Upstate,Four,Public,Suburban,Medium,59%,$14k,$49k
"NEW CONCORD, OH",Muskingum University,Four,Private Nonprofit,Rural,Small,56%,$20k,$48k
"ANOKA, MN",Anoka Technical College,Certificate,Public,Suburban,Small,41%,$12k,$48k
"MILLIGAN, TN",Milligan University,Four,Private Nonprofit,Suburban,Small,66%,$21k,$47k
"WATERTOWN, WI",Maranatha Baptist University,Four,Private Nonprofit,Town,Small,57%,$25k,$46k
"MINNEAPOLIS, MN",Capella University,Four,Private For-Profit,City,Large,27%,$18k,$42k
"HERKIMER, NY",Herkimer County BOCES-Practical Nursing Program,Certificate,Public,Town,Small,,$16k,$42k
"HICKSVILLE, NY",Veeb Nassau County School of Practical Nursing,Certificate,Public,Suburban,Small,81%,$40k,$62k
"DEKALB, IL",Northern Illinois University,Four,Public,Suburban,Medium,62%,$13k,$58k
"WESTFIELD, MA",Westfield State University,Four,Public,Suburban,Medium,64%,$19k,$57k
"FREDERICK, MD",Hood College,Four,Private Nonprofit,City,Small,65%,$24k,$57k
"SAN ANTONIO, TX",St. Mary's University,Four,Private Nonprofit,City,Small,59%,$21k,$57k
"SAN ANTONIO, TX",University of the Incarnate Word,Four,Private Nonprofit,City,Medium,56%,$20k,$57k
"JACKSON, MS",Millsaps College,Four,Private Nonprofit,City,Small,70%,$25k,$54k
"HOUSTON, TX",University of Houston-Downtown,Four,Public,City,Medium,52%,$15k,$54k
"MIAMI, FL",George T Baker Aviation Technical College,Certificate,Public,Suburban,Small,26%,$7k,$52k
"DENVER, CO",Metropolitan State University of Denver,Four,Public,City,Medium,37%,$14k,$52k
"MORRIS, MN",University of Minnesota-Morris,Four,Public,Town,Small,59%,$9k,$51k
"STEUBENVILLE, OH",Franciscan University of Steubenville,Four,Private Nonprofit,City,Medium,74%,$24k,$50k
"BILLINGS, MT",Rocky Mountain College,Four,Private Nonprofit,City,Small,53%,$19k,$49k
"PALM SPRINGS, CA",California Nurses Educational Institute,Certificate,Private For-Profit,Suburban,Small,84%,$21k,$47k
"SANTA FE SPRINGS, CA",NTMA Training Centers of Southern California,Certificate,Private Nonprofit,Suburban,Small,78%,$22k,$46k
"FALLS CREEK, PA",Triangle Tech Inc-Dubois,Two,Private For-Profit,Rural,Small,80%,$21k,$46k
"SUNBURY, PA",Triangle Tech Inc-Sunbury,Two,Private For-Profit,Rural,Small,74%,$23k,$46k
"THIEF RIVER FALLS, MN",Northland Community and Technical College,Two,Public,Town,Small,47%,$13k,$44k
"TUCSON, AZ",HDS Truck Driving Institute,Certificate,Private For-Profit,Rural,Small,83%,,$40k
"SAINT GEORGE, UT",Dixie Technical College,Certificate,Public,City,Small,75%,,$31k
"STATEN ISLAND, NY",St Paul's School of Nursing-Staten Island,Two,Private For-Profit,City,Small,57%,$39k,$87k
"NEW ROCHELLE, NY",Iona University,Four,Private Nonprofit,Suburban,Medium,62%,$28k,$74k
"RIVERSIDE, CA",University of California-Riverside,Four,Public,City,Large,80%,$14k,$68k
"BELLINGHAM, WA",Western Washington University,Four,Public,City,Medium,72%,$19k,$63k
"EUGENE, OR",University of Oregon,Four,Public,City,Large,74%,$22k,$61k
"MARION, AL",Marion Military Institute,Two,Public,Rural,Small,35%,$10k,$60k
"DENTON, TX",University of North Texas,Four,Public,City,Large,62%,$14k,$57k
"OGDEN, UT",Weber State University,Two,Public,City,Large,44%,$11k,$56k
"EAST STROUDSBURG, PA",East Stroudsburg University of Pennsylvania,Four,Public,Town,Medium,53%,$15k,$56k
"ABILENE, TX",Hardin-Simmons University,Four,Private Nonprofit,City,Small,54%,$21k,$55k
"DAYTON, TN",Bryan College-Dayton,Four,Private Nonprofit,Town,Small,54%,$16k,$54k
"MORRISTOWN, NJ",Saint Elizabeth University,Four,Private Nonprofit,Suburban,Small,65%,$18k,$53k
"BUCKHANNON, WV",West Virginia Wesleyan College,Four,Private Nonprofit,Town,Small,56%,$18k,$52k
"HAVRE, MT",Montana State University-Northern,Four,Public,Town,Small,40%,$14k,$50k
"BROOKLYN PARK, MN",Hennepin Technical College,Certificate,Public,Suburban,Medium,37%,$11k,$49k
"WILMINGTON, OH",Wilmington College,Four,Private Nonprofit,Town,Small,56%,$23k,$48k
"CALDWELL, ID",The College of Idaho,Four,Private Nonprofit,Suburban,Small,61%,$21k,$48k
"MINNEAPOLIS, MN",Walden University,Four,Private For-Profit,City,Medium,31%,,$43k
"HOUSTON, TX",Commonwealth Institute of Funeral Service,Two,Private Nonprofit,City,Small,56%,$43k,$38k
"OREM, UT",Careers Unlimited,Four,Private For-Profit,City,Small,95%,,$31k
"SANTA CRUZ, CA",University of California-Santa Cruz,Four,Public,City,Large,80%,$17k,$68k
"DANBURY, CT",Western Connecticut State University,Four,Public,City,Medium,55%,$19k,$59k
"NEW PALTZ, NY",State University of New York at New Paltz,Four,Public,Town,Medium,76%,$18k,$58k
"ELGIN, IL",Judson University,Four,Private Nonprofit,City,Small,62%,$25k,$56k
"DOYLESTOWN, PA",Delaware Valley University,Four,Private Nonprofit,Suburban,Small,57%,$27k,$56k
"DELAWARE, OH",Ohio Wesleyan University,Four,Private Nonprofit,Suburban,Small,65%,$22k,$56k
"MOSCOW, ID",University of Idaho,Four,Public,Town,Medium,61%,$14k,$55k
"YORK, PA",York County School of Technology-Adult & Continuing Education,Certificate,Public,Suburban,Small,88%,$11k,$54k
"FORT WORTH, TX",Texas Wesleyan University,Four,Private Nonprofit,City,Small,39%,$19k,$54k
"CHARLESTON, IL",Eastern Illinois University,Four,Public,Town,Medium,57%,$14k,$52k
"MONTGOMERY, AL",Huntingdon College,Four,Private Nonprofit,City,Small,54%,$21k,$50k
"SAULT STE MARIE, MI",Lake Superior State University,Four,Public,Town,Small,67%,$14k,$49k
"SHAWNEE, OK",Oklahoma Baptist University,Four,Private Nonprofit,Town,Small,53%,$24k,$48k
"MARYVILLE, MO",Northwest Missouri State University,Four,Public,Town,Medium,52%,$15k,$48k
"GRAND RAPIDS, MI",Cornerstone University,Four,Private Nonprofit,City,Small,63%,$22k,$47k
"ANGOLA, NY",Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,Certificate,Public,Rural,Small,66%,$14k,$47k
"EAU CLAIRE, WI",Chippewa Valley Technical College,Certificate,Public,City,Medium,55%,$12k,$46k
"FORT WAYNE, IN",Purdue University Fort Wayne,Four,Public,City,Medium,42%,$12k,$46k
"CINCINNATI, OH",Elite Welding Academy LLC,Certificate,Private For-Profit,Suburban,Small,86%,$28k,
"SOUTH POINT, OH",Elite Welding Academy South Point,Certificate,Private For-Profit,Suburban,Small,,$31k,
"LOS ANGELES, CA",Occidental College,Four,Private Nonprofit,City,Small,83%,$39k,$76k
"TACOMA, WA",University of Puget Sound,Four,Private Nonprofit,City,Small,75%,$39k,$70k
"DALLAS, TX",Dallas Baptist University,Four,Private Nonprofit,City,Medium,55%,$30k,$57k
"BOCA RATON, FL",Florida Atlantic University,Four,Public,City,Large,62%,$8k,$57k
"MACOMB, IL",Western Illinois University,Four,Public,Town,Medium,57%,$12k,$54k
"KALAMAZOO, MI",Western Michigan University,Four,Public,City,Medium,61%,$19k,$54k
"PHOENIX, AZ",Refrigeration School Inc,Certificate,Private For-Profit,City,Small,63%,$25k,$53k
"CLEVELAND, OH",Cleveland State University,Four,Public,City,Medium,54%,$16k,$52k
"MONMOUTH, OR",Western Oregon University,Four,Public,Town,Medium,53%,$18k,$52k
"COLUMBUS, OH",Ohio Dominican University,Four,Private Nonprofit,City,Small,52%,$19k,$52k
"THOMASVILLE, GA",Thomas University,Four,Private Nonprofit,Town,Small,49%,$19k,$50k
"SHEPHERDSTOWN, WV",Shepherd University,Four,Public,Rural,Medium,50%,$12k,$49k
"AUGUSTA, GA",Augusta University,Four,Public,City,Medium,57%,$13k,$48k
"SAN DIEGO, CA",Northcentral University,Four,Private Nonprofit,City,Small,36%,,$48k
"SPRINGFIELD, MA",Springfield College,Four,Private Nonprofit,City,Small,75%,$29k,$48k
"SPRINGFIELD, MA",Springfield College-Regional Online and Continuing Education,Four,Private Nonprofit,City,Small,64%,,$48k
"NEW ALBANY, IN",Indiana University-Southeast,Four,Public,Suburban,Medium,40%,$8k,$48k
"WINONA LAKE, IN",Grace College and Theological Seminary,Four,Private Nonprofit,Town,Small,69%,$18k,$45k
"WILLOW STREET, PA",Lancaster County Career and Technology Center,Certificate,Public,Suburban,Small,78%,$16k,$45k
"FENNIMORE, WI",Southwest Wisconsin Technical College,Certificate,Public,Rural,Small,70%,$10k,$43k
"NEW ORLEANS, LA",Tulane University of Louisiana,Four,Private Nonprofit,City,Medium,74%,$44k,$63k
"INGLEWOOD, CA",Spartan College of Aeronautics & Technology,Certificate,Private For-Profit,Suburban,Small,67%,$30k,$62k
"RIVERSIDE, CA",Spartan College of Aeronautics and Technology,Certificate,Private For-Profit,Suburban,Small,74%,$33k,$62k
"PORTLAND, OR",Portland State University,Four,Public,City,Medium,56%,$13k,$58k
"ADRIAN, MI",Adrian College,Four,Private Nonprofit,Town,Small,53%,$22k,$56k
"BROOMALL, PA",Delaware County Technical School-Practical Nursing Program,Certificate,Public,Suburban,Small,84%,$21k,$55k
"NEW YORK, NY",American Academy McAllister Institute of Funeral Service,Two,Private Nonprofit,City,Small,35%,$22k,$55k
"MIAMI GARDENS, FL",St. Thomas University,Four,Private Nonprofit,Suburban,Small,47%,$24k,$54k
"COLLEGEDALE, TN",Southern Adventist University,Four,Private Nonprofit,Suburban,Medium,64%,$24k,$54k
"HENDERSON, NV",Nevada State University,Four,Public,Rural,Medium,34%,$13k,$53k
"RUSTON, LA",Louisiana Tech University,Four,Public,Town,Medium,57%,$12k,$52k
"GREENSBURG, PA",Seton Hill University,Four,Private Nonprofit,Suburban,Small,67%,$23k,$52k
"WARRENSBURG, MO",University of Central Missouri,Four,Public,Town,Medium,57%,$15k,$50k
"DEMOREST, GA",Piedmont University,Four,Private Nonprofit,Town,Small,53%,$21k,$49k
"BLUEFIELD, VA",Bluefield University,Four,Private Nonprofit,Town,Small,55%,$22k,$49k
"CENTRAL, SC",Southern Wesleyan University,Four,Private Nonprofit,Suburban,Small,57%,$20k,$48k
"CLINTON, MS",Mississippi College,Four,Private Nonprofit,Suburban,Medium,59%,$21k,$47k
"CHILLICOTHE, OH",Pickaway Ross Joint Vocational School District,Certificate,Public,Town,Small,93%,,$46k
"ATHENS, TN",Tennessee Wesleyan University,Four,Private Nonprofit,Town,Small,55%,$15k,$46k
"PASADENA, CA",Integrity College of Health,Certificate,Private For-Profit,City,Small,75%,$18k,
"GAMBIER, OH",Kenyon College,Four,Private Nonprofit,Rural,Small,87%,$29k,$72k
"ORANGEBURG, NY",Dominican University New York,Four,Private Nonprofit,Suburban,Small,54%,$26k,$61k
"NEW YORK, NY",LIM College,Four,Private For-Profit,City,Small,58%,$38k,$59k
"GLENSIDE, PA",Arcadia University,Four,Private Nonprofit,Suburban,Small,64%,$26k,$58k
"MIAMI, FL",Barry University,Four,Private Nonprofit,Suburban,Medium,48%,$23k,$56k
"KEYSER, WV",Potomac State College of West Virginia University,Two,Public,Town,Small,25%,$7k,$56k
"MORGANTOWN, WV",West Virginia University,Four,Public,City,Large,64%,$13k,$56k
"BECKLEY, WV",West Virginia University Institute of Technology,Four,Public,City,Small,31%,$10k,$56k
"BETHLEHEM, PA",Triangle Tech Inc-Bethlehem,Two,Private For-Profit,City,Small,67%,$22k,$54k
"GREENSBURG, PA",Triangle Tech Inc-Greensburg,Two,Private For-Profit,Suburban,Small,79%,$24k,$54k
"KUTZTOWN, PA",Kutztown University of Pennsylvania,Four,Public,Town,Medium,56%,$21k,$54k
"HOUSTON, TX",Ocean Corporation,Certificate,Private For-Profit,City,Small,84%,$30k,$53k
"HONOLULU, HI",Chaminade University of Honolulu,Four,Private Nonprofit,City,Small,49%,$28k,$52k
"KAPOLEI, HI",University of Hawaii-West Oahu,Four,Public,Suburban,Medium,53%,$11k,$52k
"PHILADELPHIA, PA",Chestnut Hill College,Four,Private Nonprofit,City,Small,61%,$30k,$52k
"HIGHLAND HEIGHTS, KY",Northern Kentucky University,Four,Public,Suburban,Medium,50%,$7k,$50k
"BEAUMONT, TX",Lamar University,Four,Public,City,Medium,44%,$11k,$50k
"CHOCTAW, OK",Eastern Oklahoma County Technology Center,Certificate,Public,Rural,Small,86%,$8k,$49k
"BELMONT, NC",Belmont Abbey College,Four,Private Nonprofit,Suburban,Small,49%,$24k,$48k
"CHESTER, NY",Yeshiva of Nitra Rabbinical College,Four,Private Nonprofit,Rural,Small,20%,$6k,$42k
"CLAREMONT, CA",Pitzer College,Four,Private Nonprofit,Suburban,Small,87%,$32k,$70k
"ALLENTOWN, PA",Muhlenberg College,Four,Private Nonprofit,City,Small,82%,$30k,$69k
"ITHACA, NY",Ithaca College,Four,Private Nonprofit,Suburban,Medium,77%,$33k,$64k
"SPARKILL, NY",St. Thomas Aquinas College,Four,Private Nonprofit,Suburban,Small,63%,$21k,$63k
"NEW YORK, NY",Fashion Institute of Technology,Two,Public,City,Medium,85%,$22k,$63k
"CARSON, CA",California State University-Dominguez Hills,Four,Public,City,Medium,69%,$4k,$57k
"PUEBLO, CO",Colorado State University Pueblo,Four,Public,City,Medium,43%,$13k,$56k
"VICTORIA, TX",University of Houston-Victoria,Four,Public,City,Medium,41%,$9k,$54k
"STATESBORO, GA",Georgia Southern University,Four,Public,Town,Large,55%,$17k,$53k
"CANOGA PARK, CA",California Career College,Two,Private For-Profit,City,Small,90%,,$52k
"BEAUMONT, CA",Beaumont Adult School,Certificate,Public,Suburban,Small,93%,$30k,$51k
"LARAMIE, WY",WyoTech,Certificate,Private For-Profit,Town,Small,82%,$43k,$50k
"KOKOMO, IN",Indiana University-Kokomo,Four,Public,City,Medium,49%,$6k,$50k
"SPRINGFIELD, MO",Missouri State University-Springfield,Four,Public,City,Medium,60%,$18k,$50k
"TOPEKA, KS",Washburn Institute of Technology,Certificate,Public,City,Small,60%,$13k,$50k
"TOPEKA, KS",Washburn University,Four,Public,City,Medium,57%,$13k,$50k
"MILTON, PA",Central Susquehanna Intermediate Unit LPN Career,Certificate,Public,Rural,Small,77%,$18k,$50k
"HAMBURG, NY",Hilbert College,Four,Private Nonprofit,Suburban,Small,59%,$22k,$48k
"ABERDEEN, SD",Northern State University,Four,Public,Town,Small,46%,$17k,$48k
"SALINA, KS",Salina Area Technical College,Certificate,Public,Town,Small,80%,$7k,$42k
"SPOKANE, WA",Northwest HVAC/R Training Center,Certificate,Private Nonprofit,City,Small,75%,$17k,$61k
"UNIVERSITY PARK, IL",Governors State University,Four,Public,Suburban,Medium,51%,$9k,$58k
"HILLSBORO, KS",Tabor College,Four,Private Nonprofit,Rural,Small,51%,$20k,$54k
"PLAINVIEW, TX",Wayland Baptist University,Four,Private Nonprofit,Town,Medium,40%,$21k,$52k
"KINGSVILLE, TX",Texas A & M University-Kingsville,Four,Public,Town,Medium,53%,$10k,$51k
"INDIANA, PA",Indiana University of Pennsylvania-Main Campus,Four,Public,Town,Medium,56%,$17k,$51k
"CELINA, OH",Wright State University-Lake Campus,Four,Public,Rural,Small,22%,$13k,$50k
"DAYTON, OH",Wright State University-Main Campus,Four,Public,Suburban,Medium,47%,$15k,$50k
"LOUISVILLE, KY",Spalding University,Four,Private Nonprofit,City,Small,52%,$24k,$49k
"SEEKONK, MA",Motoring Technical Training Institute,Certificate,Private For-Profit,Suburban,Small,82%,$18k,$48k
"EAST PROVIDENCE, RI",MotoRing Technical Training Institute,Certificate,Private For-Profit,Suburban,Small,90%,$19k,$48k
"PITTSBURGH, PA",Rosedale Technical College,Two,Private Nonprofit,Suburban,Small,83%,$15k,$48k
"DENVILLE, NJ",Morris County Vocational School District,Certificate,Public,Suburban,Small,91%,$18k,$47k
"WAYNE, NE",Wayne State College,Four,Public,Town,Medium,54%,$15k,$47k
"CANTON, MO",Culver-Stockton College,Four,Private Nonprofit,Rural,Small,51%,$22k,$46k
"ENGLEWOOD, OH",Miami Valley Career Technology Center,Certificate,Public,Suburban,Small,88%,,$44k
"CHARLOTTE, NC",Aviation Institute of Maintenance-Charlotte,Certificate,Private For-Profit,City,Small,54%,$21k,$43k
"INDIANAPOLIS, IN",Aviation Institute of Maintenance-Indianapolis,Certificate,Private For-Profit,City,Small,51%,$30k,$43k
"CLEARFIELD, PA",Clearfield County Career and Technology Center,Certificate,Public,Rural,Small,77%,$14k,$42k
"SAN ANTONIO, TX",Hallmark University,Four,Private Nonprofit,City,Small,60%,$11k,$40k
"FRESNO, CA",California State University-Fresno,Four,Public,City,Large,69%,$6k,$61k
"BURLINGTON, VT",Champlain College,Four,Private Nonprofit,City,Medium,60%,$35k,$58k
"WAYNE, NJ",William Paterson University of New Jersey,Four,Public,Suburban,Medium,62%,$18k,$58k
"HOUSTON, TX",Center for Advanced Legal Studies,Certificate,Private For-Profit,City,Small,71%,$11k,$57k
"PORTLAND, OR",Warner Pacific University,Four,Private Nonprofit,City,Small,50%,$19k,$55k
"PORTLAND, OR",Warner Pacific University Professional and Graduate Studies,Four,Private Nonprofit,City,Small,74%,,$55k
"RIVER FOREST, IL",Concordia University-Chicago,Four,Private Nonprofit,Suburban,Small,53%,$17k,$54k
"CHICAGO, IL",Northeastern Illinois University,Four,Public,City,Medium,47%,$14k,$52k
"COMMERCE, TX",Texas A & M University-Commerce,Four,Public,Town,Medium,54%,$11k,$50k
"LA GRANDE, OR",Eastern Oregon University,Four,Public,Town,Medium,46%,$16k,$50k
"TULSA, OK",Spartan College of Aeronautics and Technology,Two,Private For-Profit,City,Small,63%,$32k,$50k
"SHERMAN OAKS, CA",Casa Loma College-Los Angeles,Two,Private Nonprofit,City,Small,61%,$28k,$50k
"RENTON, WA",Renton Technical College,Certificate,Public,City,Small,31%,$5k,$50k
"NACOGDOCHES, TX",Stephen F Austin State University,Four,Public,Town,Medium,57%,$15k,$50k
"SAINT AUGUSTINE, FL",Flagler College,Four,Private Nonprofit,Suburban,Medium,64%,$30k,$49k
"WILKES BARRE, PA",Wilkes-Barre Area Career and Technical Center Practical Nursing,Certificate,Public,Suburban,Small,39%,$19k,$49k
"TIFFIN, OH",Heidelberg University,Four,Private Nonprofit,Town,Small,55%,$22k,$48k
"WATERTOWN, NY",Jefferson Lewis BOCES-Practical Nursing Program,Certificate,Public,Rural,Small,,,$48k
"MAUMEE, OH",Professional Skills Institute,Two,Private For-Profit,Suburban,Small,72%,$20k,$48k
"FOND DU LAC, WI",Moraine Park Technical College,Certificate,Public,City,Medium,55%,$10k,$44k
"LOS ANGELES, CA",California State University-Los Angeles,Four,Public,City,Large,69%,$4k,$59k
"LOS ALTOS HILLS, CA",Foothill College,Certificate,Public,Suburban,Medium,26%,$8k,$57k
"CHARLESTON, WV",University of Charleston,Four,Private Nonprofit,City,Medium,53%,$22k,$56k
"FROSTBURG, MD",Frostburg State University,Four,Public,Town,Medium,60%,$15k,$55k
"FLINT, MI",University of Michigan-Flint,Four,Public,City,Medium,47%,$12k,$53k
"GEORGETOWN, KY",Georgetown College,Four,Private Nonprofit,Town,Small,52%,$13k,$52k
"UNIVERSITY CENTER, MI",Saginaw Valley State University,Four,Public,Suburban,Medium,50%,$15k,$52k
"PRATT, KS",Pratt Community College,Certificate,Public,Town,Small,38%,$8k,$52k
"DECATUR, IL",Millikin University,Four,Private Nonprofit,City,Small,60%,$9k,$51k
"CHATTANOOGA, TN",The University of Tennessee-Chattanooga,Four,Public,City,Medium,54%,$13k,$51k
"TOLEDO, OH",University of Toledo,Four,Public,City,Medium,54%,$17k,$51k
"SALT LAKE CITY, UT",Ensign College,Certificate,Private Nonprofit,City,Medium,31%,$10k,$51k
"LEBANON, OH",Warren County Career Center,Certificate,Public,Rural,Small,84%,$21k,$49k
"SAINT LOUIS, MO",Missouri Baptist University,Four,Private Nonprofit,Suburban,Small,50%,$26k,$47k
"NEW LONDON, NH",Colby-Sawyer College,Four,Private Nonprofit,Rural,Small,68%,$26k,$46k
"SAN JUAN, PR",University of Puerto Rico-Medical Sciences,Four,Public,City,Small,93%,,$46k
"CHARLESTON, SC",Charleston Southern University,Four,Private Nonprofit,City,Medium,45%,$22k,$46k
"LA CROSSE, WI",Western Technical College,Certificate,Public,City,Medium,51%,$12k,$45k
"PHOENIX, AZ",Grand Canyon University,Four,Private For-Profit,City,Large,47%,$22k,$42k
"COLUMBUS, OH",American Institute of Alternative Medicine,Certificate,Private For-Profit,City,Small,67%,$32k,$41k
"MADISON, NJ",Fairleigh Dickinson University-Florham Campus,Four,Private Nonprofit,Suburban,Small,64%,$24k,$57k
"TEANECK, NJ",Fairleigh Dickinson University-Metropolitan Campus,Four,Private Nonprofit,Suburban,Medium,57%,$15k,$57k
"UNION, NJ",Kean University,Four,Public,Suburban,Medium,60%,$12k,$57k
"HOUSTON, TX",Houston Christian University,Four,Private Nonprofit,City,Medium,49%,$20k,$56k
"OREM, UT",Utah Valley University,Four,Public,City,Large,44%,$8k,$55k
"INVER GROVE HEIGHTS, MN",Inver Hills Community College,Two,Public,Suburban,Medium,26%,$11k,$50k
"NEWTON, MA",Lasell University,Four,Private Nonprofit,City,Small,64%,$25k,$50k
"SAN FRANCISCO, CA",California Institute of Integral Studies,Four,Private Nonprofit,City,Small,81%,,$49k
"EAST GREENWICH, RI",New England Institute of Technology,Two,Private Nonprofit,Suburban,Small,66%,$37k,$49k
"ORONO, ME",University of Maine,Four,Public,Suburban,Medium,56%,$18k,$49k
"EDMOND, OK",University of Central Oklahoma,Four,Public,Suburban,Medium,43%,$19k,$48k
"EMPORIA, KS",Emporia State University,Four,Public,Town,Medium,52%,$16k,$48k
"DEERFIELD, IL",Trinity International University-Illinois,Four,Private Nonprofit,Suburban,Small,49%,$21k,$47k
"DALLAS, TX",Dallas Institute of Funeral Service,Two,Private Nonprofit,City,Small,77%,$20k,$46k
"CHICAGO, IL",National Louis University,Four,Private Nonprofit,City,Medium,52%,$16k,$46k
"WEATHERFORD, OK",Southwestern Oklahoma State University,Four,Public,Town,Medium,48%,$15k,$46k
"APPLETON, WI",Fox Valley Technical College,Certificate,Public,Suburban,Medium,64%,$11k,$46k
"BANGOR, ME",Husson University,Four,Private Nonprofit,City,Medium,58%,$21k,$45k
"FULTON, MO",William Woods University,Four,Private Nonprofit,Town,Small,54%,$22k,$42k
"LOS ALAMITOS, CA",Touro University Worldwide,Four,Private Nonprofit,Suburban,Small,47%,$17k,$41k
"HONOLULU, HI",University of Hawaii at Manoa,Four,Public,City,Medium,64%,$13k,$58k
"ANCHORAGE, AK",Alaska Pacific University,Four,Private Nonprofit,City,Small,46%,$19k,$54k
"BOTHELL, WA",Cascadia College,Two,Public,Suburban,Small,38%,$13k,$54k
"CARBONDALE, IL",Southern Illinois University-Carbondale,Four,Public,Town,Medium,56%,$16k,$53k
"NORTH ANDOVER, MA",New England Tractor Trailer Training School of Massachusetts,Certificate,Private For-Profit,Suburban,Small,72%,$16k,$53k
"PAWTUCKET, RI",New England Tractor Trailer Training School of Rhode Island,Certificate,Private For-Profit,Suburban,Small,72%,$15k,$53k
"SAN ANGELO, TX",Angelo State University,Four,Public,City,Medium,48%,$13k,$50k
"DRAPER, UT",Joyce University of Nursing and Health Sciences,Two,Private For-Profit,Suburban,Small,77%,$31k,$50k
"WEST PALM BEACH, FL",Palm Beach Atlantic University,Four,Private Nonprofit,City,Medium,55%,$33k,$49k
"POUGHKEEPSIE, NY",Dutchess BOCES-Practical Nursing Program,Certificate,Public,Rural,Small,70%,$34k,$48k
"AVONDALE, AZ",Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Certificate,Private For-Profit,Suburban,Small,71%,$22k,$48k
"SACRAMENTO, CA",Universal Technical Institute of Northern California Inc,Two,Private For-Profit,City,Small,68%,$27k,$48k
"ORLANDO, FL",Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,Two,Private For-Profit,Suburban,Small,63%,$27k,$48k
"HURON, OH",Bowling Green State University-Firelands,Two,Public,Rural,Small,21%,$18k,$48k
